ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
1.7E-05,14,4,26,22,115,21,216,130,16,8,64.12,7.323E-09,9.061E-09,3.141E-05,87.33,161800000,2732000,162500000,0.0008106,48.81,113900000,-49.48
2E-05,14,2,13,22,230,21,432,260,8,4,54.78,6.194E-09,1.008E-08,4.167E-05,87.33,204100000,4689000,205200000,0.003485,45.48,196900000,-45.32
1.4E-05,14,4,13,22,230,11,216,130,8,4,65.25,8.742E-09,1.164E-08,4.475E-05,87.31,107800000,2194000,109100000,0.001236,47.49,85890000,-47.65
2E-05,12,4,13,22,460,11,432,237,8,4,66,7.638E-09,1.094E-08,4.56E-05,87.3,139800000,3031000,141600000,0.003317,46.54,117200000,-46.34
1.1E-05,14,4,26,44,230,21,216,130,8,4,63.38,6.45E-09,8.409E-09,3.17E-05,87.29,200500000,3562000,200800000,0.001062,48.01,151600000,-48.69
1.7E-05,12,8,13,22,460,6,216,119,8,4,72.66,1.056E-08,1.328E-08,5.18E-05,87.28,81120000,1667000,81510000,0.001425,47.59,60120000,-47.18
1.7E-05,12,4,13,22,460,11,432,237,8,4,65.7,8.118E-09,1.123E-08,4.518E-05,87.26,125800000,2639000,125800000,0.002843,47,103400000,-46.97
1.7E-05,14,4,13,44,460,11,216,130,4,2,69.18,6.326E-09,1.033E-08,4.755E-05,87.26,191600000,4947000,193000000,0.002956,44.2,167200000,-43.43
1.1E-05,12,4,13,22,460,11,432,237,8,4,64.86,9.655E-09,1.227E-08,4.431E-05,87.23,93550000,1829000,94530000,0.001881,48.01,73110000,-48.37
1.7E-05,12,8,26,44,460,11,216,119,8,4,66.9,7.122E-09,9.148E-09,3.742E-05,87.22,169700000,3333000,171800000,0.001484,47.6,128300000,-47.76
2E-05,12,4,13,44,230,21,216,119,8,4,59.31,6.202E-09,1.007E-08,4.16E-05,87.17,269600000,5981000,273000000,0.001869,45.28,247200000,-45.42
1.7E-05,14,2,13,22,230,21,432,260,8,4,57.82,6.488E-09,1.016E-08,4.088E-05,87.16,186400000,4110000,188400000,0.002989,46.01,176100000,-46.06
1.4E-05,12,4,13,44,230,21,216,119,8,4,60.81,6.926E-09,1.033E-08,3.996E-05,87.15,217600000,4464000,220500000,0.001332,46.38,192500000,-46.85
2E-05,14,4,26,22,115,21,216,130,16,8,64.4,6.815E-09,8.678E-09,3.156E-05,87.15,182500000,3125000,184800000,0.0009463,48.53,131400000,-49.09
1.7E-05,12,4,13,44,230,21,216,119,8,4,60.22,6.507E-09,1.016E-08,4.08E-05,87.11,245000000,5226000,246200000,0.001601,45.81,221000000,-46.12
2E-05,14,4,26,22,460,11,432,260,8,4,70.33,6.622E-09,8.777E-09,3.748E-05,87.11,149000000,2998000,150400000,0.003319,47.44,111300000,-47.18
